,question,id,answer,count,cluster,sentiment,corrected
37,Какие цели вы поставили себе на Школу тренеров?,20139.0,управление проектами,1.0,управление проектами,neutrals,
38,Какие цели вы поставили себе на Школу тренеров?,20139.0,стать тренером фцк,1.0,стать тренером фцк,neutrals,
39,Какие цели вы поставили себе на Школу тренеров?,20139.0,рассказать стране о шт,1.0,рассказать стране о шт,neutrals,
40,Какие цели вы поставили себе на Школу тренеров?,20139.0,расширение творческих границ,1.0,расширение творческих границ,positives,
41,Какие цели вы поставили себе на Школу тренеров?,20139.0,систематизация,1.0,систематизация,neutrals,
42,Какие цели вы поставили себе на Школу тренеров?,20139.0,стать продуктивнее в работе,1.0,стать продуктивнее в работе,positives,
43,Какие цели вы поставили себе на Школу тренеров?,20139.0,обучай. применяйте. соверш.,1.0,применяй обучай совершенствуй,neutrals,обучай применяйте совершенствуй
44,Какие цели вы поставили себе на Школу тренеров?,20139.0,применяй обучай совершенствуй,1.0,применяй обучай совершенствуй,neutrals,
45,What countries are major investors abroad?,20397.0,kazakhstan,1.0,kazakhstan,neutrals,
46,What countries are major investors abroad?,20397.0,netherlands,7.0,netherlands,neutrals,
47,What countries are major investors abroad?,20397.0,qatar,6.0,qatar,neutrals,
48,What countries are major investors abroad?,20397.0,quatar,1.0,qatar,neutrals,qatar
49,What countries are major investors abroad?,20397.0,russia,1.0,russia,neutrals,
50,What countries are major investors abroad?,20397.0,uk,5.0,uk,neutrals,
51,What countries are major investors abroad?,20397.0,vv,1.0,vv,neutrals,
52,What countries are major investors abroad?,20397.0,ireland,1.0,ireland,neutrals,
53,What countries are major investors abroad?,20397.0,luxembourg,1.0,luxembourg,neutrals,
54,What countries are major recipients of FDI?,20398.0,singapore,4.0,singapore,neutrals,
55,What countries are major recipients of FDI?,20398.0,south america,1.0,south america,neutrals,
56,What countries are major recipients of FDI?,20398.0,swiss,1.0,swiss,neutrals,
57,What countries are major recipients of FDI?,20398.0,thailand,1.0,thailand,neutrals,
58,What countries are major recipients of FDI?,20398.0,turkey,1.0,turkey,neutrals,
59,What countries are major recipients of FDI?,20398.0,uae,2.0,uae,neutrals,
60,What countries are major recipients of FDI?,20398.0,uk,3.0,united kingdom,neutrals,
61,What countries are major recipients of FDI?,20398.0,united kingdom,1.0,united kingdom,neutrals,
62,What countries are major recipients of FDI?,20398.0,vietnam,1.0,vietnam,neutrals,
63,Name 4-5 emerging markets,20400.0,india,18.0,india,neutrals,
64,Name 4-5 emerging markets,20400.0,indonesia,2.0,indonesia,neutrals,
65,Name 4-5 emerging markets,20400.0,korea,1.0,korea,neutrals,
66,Name 4-5 emerging markets,20400.0,mexico,3.0,mexico,neutrals,
67,Name 4-5 emerging markets,20400.0,pakistan,1.0,pakistan,neutrals,
68,Name 4-5 emerging markets,20400.0,peru,1.0,peru,neutrals,
69,Name 4-5 emerging markets,20400.0,philippines,1.0,philippines,neutrals,
70,Name 4-5 emerging markets,20400.0,russia,7.0,russia,neutrals,
71,Name 4-5 emerging markets,20400.0,saudi arabia,1.0,saudi arabia,neutrals,
72,Name 4-5 emerging markets,20400.0,south america,1.0,south america,neutrals,
73,Name 4-5 emerging markets,20400.0,turkey,4.0,turkey,neutrals,
74,Name 4-5 emerging markets,20400.0,usa,2.0,usa,neutrals,
75,Name 4-5 emerging markets,20400.0,viethnam,1.0,vietnam,neutrals,vietnam
76,Name 4-5 emerging markets,20400.0,vietnam,4.0,vietnam,neutrals,
77,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),20785.0,удовольствие,2.0,удовольствие,positives,
78,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),20785.0,эйфория,1.0,удовольствие,positives,
79,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),20785.0,это было круто!,1.0,это было круто,positives,это было круто
80,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),20785.0,изумление,1.0,изумление,neutrals,
81,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),20785.0,интерес,2.0,интерес,positives,
82,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),20785.0,интересно,1.0,интерес,positives,
83,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),20785.0,испуг,1.0,испуг,neutrals,
84,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),20785.0,общение,1.0,общение,neutrals,
85,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),20785.0,умиротворение,1.0,умиротворение,positives,
86,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),20785.0,усталость,4.0,усталость,negatives,
87,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),20785.0,чувство единения команды,1.0,чувство единения команды,positives,
88,Name 3 most important skills that you expect you will need in your future job.,20799.0,hard working,1.0,hard working,neutrals,
89,Name 3 most important skills that you expect you will need in your future job.,20799.0,innovation,1.0,innovation,neutrals,
90,Name 3 most important skills that you expect you will need in your future job.,20799.0,it,1.0,it skills,neutrals,
91,Name 3 most important skills that you expect you will need in your future job.,20799.0,it skills,1.0,it skills,neutrals,
92,Name 3 most important skills that you expect you will need in your future job.,20799.0,leadership,1.0,leadership,positives,
93,Name 3 most important skills that you expect you will need in your future job.,20799.0,leadership skills,1.0,leadership,positives,
94,Name 3 most important skills that you expect you will need in your future job.,20799.0,open-mindedness,1.0,open mindedness,positives,open mindedness
95,Name 3 most important skills that you expect you will need in your future job.,20799.0,patience,1.0,patience,positives,
96,Name 3 most important skills that you expect you will need in your future job.,20799.0,perseverance,1.0,perseverance,positives,
97,Name 3 most important skills that you expect you will need in your future job.,20799.0,responsibility,2.0,responsibility,neutrals,
98,Name 3 most important skills that you expect you will need in your future job.,20799.0,soft,1.0,soft skills,neutrals,
99,Name 3 most important skills that you expect you will need in your future job.,20799.0,soft skills,2.0,soft skills,neutrals,
100,Name 3 most important skills that you expect you will need in your future job.,20799.0,stress resistance,1.0,stress resistance,positives,
101,С чем у Вас ассоциируется прошедшая сессия?,21571.0,функционал,1.0,функционал,neutrals,
102,С чем у Вас ассоциируется прошедшая сессия?,21571.0,хорошей возможностью подумать,1.0,хорошей возможностью подумать,positives,
103,С чем у Вас ассоциируется прошедшая сессия?,21571.0,цели,1.0,цели,neutrals,
104,С чем у Вас ассоциируется прошедшая сессия?,21571.0,цель,1.0,цели,neutrals,
105,С чем у Вас ассоциируется прошедшая сессия?,21571.0,шан на движение вперед,1.0,шанс на движение вперед,positives,шанс на движение вперед
106,С чем у Вас ассоциируется прошедшая сессия?,21571.0,напряжение,1.0,напряжение,negatives,
107,С чем у Вас ассоциируется прошедшая сессия?,21571.0,удобство,1.0,удобство,positives,
108,"Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.",21584.0,руководитель отдела,1.0,руководитель отдела,neutrals,
109,"Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.",21584.0,создаёт творческую атмосферу,1.0,создаёт творческую атмосферу,neutrals,
110,"Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.",21584.0,стремится сам,1.0,стремится сам,neutrals,
111,"Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.",21584.0,человек делающий правильно пра,1.0,человек делающий правильно пра,positives,
112,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",21586.0,понимание своего влияния,1.0,понимание своего влияния,neutrals,
113,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",21586.0,практические навыки,1.0,практические навыки,neutrals,
114,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",21586.0,психологич,1.0,психологические,neutrals,психологические
115,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",21586.0,чф,1.0,чф,neutrals,
116,Ключевые ассоциации с либерально-идеалистической парадигмой,21718.0,свобода актора,2.0,свобода актора,positives,
117,Ключевые ассоциации с либерально-идеалистической парадигмой,21718.0,свобода идея люди рынок мир,1.0,свобода идея люди рынок мир,positives,
118,Ключевые ассоциации с либерально-идеалистической парадигмой,21718.0,свобода права и морали,1.0,свобода права и морали,positives,
119,Ключевые ассоциации с либерально-идеалистической парадигмой,21718.0,свободное право,1.0,свободное право,positives,
120,Ключевые ассоциации с либерально-идеалистической парадигмой,21718.0,сотрудничество,2.0,сотрудничество,positives,
121,Ключевые ассоциации с либерально-идеалистической парадигмой,21718.0,универсальные ценности,1.0,универсальные ценности,neutrals,
122,Ключевые ассоциации с либерально-идеалистической парадигмой,21718.0,частная собственность,2.0,частная собственность,neutrals,
123,Опишите одним словом ваше текущее состояние,21756.0,сложно,1.0,сложно,negatives,
124,Опишите одним словом ваше текущее состояние,21756.0,тяжело,1.0,сложно,negatives,
125,Опишите одним словом ваше текущее состояние,21756.0,смятение,2.0,смятение,negatives,
126,Опишите одним словом ваше текущее состояние,21756.0,собранность,2.0,сосредоточенность,positives,
127,Опишите одним словом ваше текущее состояние,21756.0,сосредоточенность,2.0,сосредоточенность,positives,
128,Опишите одним словом ваше текущее состояние,21756.0,сожаление,1.0,сожаление,neutrals,
129,Опишите одним словом ваше текущее состояние,21756.0,стабильно,3.0,стабильное,neutrals,
130,Опишите одним словом ваше текущее состояние,21756.0,стабильное,15.0,стабильное,positives,
131,Опишите одним словом ваше текущее состояние,21756.0,стабильность,3.0,стабильное,positives,
132,Опишите одним словом ваше текущее состояние,21756.0,стагнация,1.0,стагнация,negatives,
133,Опишите одним словом ваше текущее состояние,21756.0,стараюсь отвлечься,1.0,стараюсь отвлечься,neutrals,
134,Опишите одним словом ваше текущее состояние,21756.0,стресс,18.0,стресс,negatives,
135,Опишите одним словом ваше текущее состояние,21756.0,твик из южного парка,1.0,твик из южного парка,neutrals,
136,Опишите одним словом ваше текущее состояние,21756.0,текущее положение в стране,1.0,текущее положение в стране,neutrals,
137,Опишите одним словом ваше текущее состояние,21756.0,только вперед),1.0,только вперед,positives,только вперед
138,Опишите одним словом ваше текущее состояние,21756.0,ультрамыслительное,1.0,ультрамыслительное,neutrals,
139,Опишите одним словом ваше текущее состояние,21756.0,упадок,1.0,упадок,negatives,
140,Опишите одним словом ваше текущее состояние,21756.0,упадок сил,1.0,упадок,negatives,
141,Опишите одним словом ваше текущее состояние,21756.0,хаос,1.0,хаос,negatives,
142,Опишите одним словом ваше текущее состояние,21756.0,целеустремленность,1.0,целеустремлённость,positives,
143,Опишите одним словом ваше текущее состояние,21756.0,целеустремлённость,1.0,целеустремлённость,positives,
144,Опишите одним словом ваше текущее состояние,21756.0,цели понятны,1.0,цели понятны,positives,
145,Опишите одним словом ваше текущее состояние,21756.0,частые перепады настроения,1.0,частые перепады настроения,negatives,
146,Опишите одним словом ваше текущее состояние,21756.0,эмоциональная мясорубка,1.0,частые перепады настроения,negatives,
147,Опишите одним словом ваше текущее состояние,21756.0,шок,2.0,шок,neutrals,
148,Ключевые ассоциации с парадигмой политического реализма (5 слов),21817.0,пессимизм,1.0,пессимизм,neutrals,
149,Ключевые ассоциации с парадигмой политического реализма (5 слов),21817.0,поиск,1.0,поиск,neutrals,
150,Ключевые ассоциации с парадигмой политического реализма (5 слов),21817.0,политика,1.0,политика,neutrals,
151,Ключевые ассоциации с парадигмой политического реализма (5 слов),21817.0,политические деятели,1.0,политические деятели,neutrals,
152,Ключевые ассоциации с парадигмой политического реализма (5 слов),21817.0,президенты,1.0,президенты,neutrals,
153,Ключевые ассоциации с парадигмой политического реализма (5 слов),21817.0,равноправие,1.0,равноправие,positives,
154,Ключевые ассоциации с парадигмой политического реализма (5 слов),21817.0,рациональность,1.0,рациональность,neutrals,
155,Ключевые ассоциации с парадигмой политического реализма (5 слов),21817.0,развитие,1.0,развитие,positives,
156,Ключевые ассоциации с парадигмой политического реализма (5 слов),21817.0,решение,1.0,решение,neutrals,
157,Ключевые ассоциации с парадигмой политического реализма (5 слов),21817.0,сила,2.0,сила,positives,
158,Ключевые ассоциации с парадигмой политического реализма (5 слов),21817.0,сотрудничество,2.0,сотрудничество,positives,
159,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",21819.0,развитие it,1.0,развитие it,positives,
160,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",21819.0,тем. встречи квиз,1.0,тематические встречи опрос,neutrals,тематические встречи опрос
161,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",21819.0,тех. туры,1.0,технические туры,neutrals,технические туры
162,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",21819.0,технические туры на аэс,1.0,технические туры на аэс,neutrals,
163,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",21819.0,технические туры на аэс и т.д.,1.0,технические туры на аэс,neutrals,технические туры на аэс и т д
164,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",21819.0,техтуры,1.0,технические туры,neutrals,
165,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",21819.0,туристическое тех.туры,1.0,технические туры,neutrals,туристическое технические туры
166,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",21819.0,участие в разрешении проблем,1.0,участие в разрешении проблем,neutrals,
167,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",21819.0,цех,1.0,цех,neutrals,
168,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",21819.0,цифровизация,1.0,цифровизация,neutrals,
169,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",21819.0,чтгдк-да...,1.0,чтгдк да,neutrals,чтгдк да
170,Напишите ваши ожидания от курса в 2х словах?,23023.0,новые возможности,1.0,новые возможности,positives,
171,Напишите ваши ожидания от курса в 2х словах?,23023.0,новые смыслы образовательных с,1.0,новые смыслы образовательных с,neutrals,
172,Напишите ваши ожидания от курса в 2х словах?,23023.0,профильный летний лагерь,1.0,профильный летний лагерь,neutrals,
173,Напишите ваши ожидания от курса в 2х словах?,23023.0,содержательно,1.0,содержательно,positives,
174,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,сразунеподписывающий,1.0,сразу не подписывающий,neutrals,сразу не подписывающий
175,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,срок,1.0,сроки,neutrals,
176,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,сроки,1.0,сроки,neutrals,
177,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,стабильный,1.0,стабильный,positives,
178,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,стандарт,1.0,стандарт,neutrals,
179,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,стандартизация,1.0,стандарт,neutrals,
180,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,стена,1.0,стена,neutrals,
181,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,стиль жизни,1.0,стиль жизни,neutrals,
182,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,стол,1.0,стол,neutrals,
183,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,столодержатель,3.0,столодержатель,neutrals,
184,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,страх,3.0,страх,negatives,
185,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,трус,3.0,трус,negatives,
186,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,трусость,1.0,трус,negatives,
187,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,трусишка,1.0,трус,negatives,
188,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,суета,2.0,суета,negatives,
189,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,тугодум,2.0,тугодум,negatives,
190,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,существование,1.0,существование,neutrals,
191,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,тщетный,1.0,тщетный,negatives,
192,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,табличка,1.0,табличка,neutrals,
193,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,удовлетворение своих желаний,1.0,удовлетворение своих желаний,positives,
194,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,типичный,1.0,типичный,neutrals,
195,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,узколобость,1.0,узколобый,negatives,
196,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,узколобый,1.0,узколобый,negatives,
197,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,тиран,1.0,тиран,negatives,
198,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,узп,1.0,узп,neutrals,
199,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,товарищ дынин (из фильма),1.0,товарищ дынин из фильма,neutrals,товарищ дынин из фильма
200,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,уклонист,1.0,уклонист,neutrals,
201,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,толстолобый,1.0,толстолобый,negatives,
202,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,умник,1.0,умник,neutrals,
203,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,топ-менеджмент,1.0,топ менеджмент,neutrals,топ менеджмент
204,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,усложнение,10.0,усложняющий,negatives,
205,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,усложнение своей работы и друг,1.0,усложняющий,negatives,усложнение своей работы и других
206,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,усложнитель,4.0,усложняющий,negatives,
207,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,усложняющий,3.0,усложняющий,negatives,
208,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,усложняющий простые процессы,1.0,усложняющий,negatives,
209,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,человек усложняющий всем жизнь,1.0,усложняющий,negatives,
210,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,трудозатратный,1.0,трудозатраты,neutrals,
211,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,трудозатраты,1.0,трудозатраты,neutrals,
212,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,усталость,1.0,усталость,negatives,
213,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,утомительный,2.0,усталость,negatives,
214,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,чрезмерные трудозатраты,1.0,трудозатраты,negatives,
215,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,энергозатратность,1.0,трудозатраты,neutrals,
216,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,утопия,1.0,утопия,neutrals,
217,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,утративший цель,1.0,утративший цель,neutrals,
218,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,ущерб,1.0,ущерб,negatives,
219,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,ущерб дела,1.0,ущерб,negatives,
220,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,фаервол,1.0,фаервол,neutrals,
221,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,фарфуркис - сказка о тройке,1.0,фарфуркис сказка о тройке,neutrals,фарфуркис сказка о тройке
222,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,фильтр,1.0,фильтр,neutrals,
223,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,функция,1.0,функция,neutrals,
224,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,функционер,3.0,функционер,neutrals,
225,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,футболист,1.0,футболист,neutrals,
226,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,ханжество,1.0,ханжество,negatives,
227,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,цепкий,1.0,цепкий,neutrals,
228,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,человек,7.0,человек,neutrals,
229,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,человек в футляре,1.0,человек в футляре,neutrals,
230,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,человек с раздутым эго,1.0,человек с раздутым эго,negatives,
231,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,эгоист,1.0,эгоист,negatives,
232,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,червь,1.0,червь,neutrals,
233,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,чин,1.0,чин,neutrals,
234,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,чинопочитание,1.0,чинопочитание,neutrals,
235,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,чопорный,2.0,чопорный,negatives,
236,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,швондер,4.0,швондер,negatives,
237,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,щелкопер,1.0,щелкопер,negatives,
238,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,энергосос,1.0,энергосос,negatives,
239,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,энтропия,1.0,энтропия,neutrals,
240,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,юридическая безопасность,1.0,юридическая безопасность,positives,
241,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,юристы,1.0,юристы,neutrals,
242,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,якорь,5.0,якорь,neutrals,
243,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,бурная деятельность,1.0,бурная деятельность,neutrals,
244,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,бракодел,1.0,бракодел,negatives,
245,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,бредятинан,1.0,бредятина,negatives,бредятина
246,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,графики,1.0,графики,neutrals,
247,"Напишите свою ассоциацию со словом ""бюрократ""",23097.0,москва,1.0,москва,neutrals,
