,question,id,answer,count,cluster,sentiment
64,"Что для вас ""культура доверия"" в организации?",10119.0,можно быть услышанным,1.0,,
65,"Что для вас ""культура доверия"" в организации?",10119.0,можно без обиды отказать,1.0,,
66,"Что для вас ""культура доверия"" в организации?",10119.0,говорю об ошибках,1.0,,
67,"Что для вас ""культура доверия"" в организации?",10119.0,предлагаю свободно идеи,1.0,,
68,"Что для вас ""культура доверия"" в организации?",10119.0,"все равны - и новый, и ""старый",1.0,,
69,"Что для вас ""культура доверия"" в организации?",10119.0,отсутствие двуличности,1.0,,
70,"Что для вас ""культура доверия"" в организации?",10119.0,отсутствие лжи,1.0,,
71,"Что для вас ""культура доверия"" в организации?",10119.0,правда подтверждается фактами,1.0,,
72,"Что для вас ""культура доверия"" в организации?",10119.0,свобода слова,1.0,,
73,"Что для вас ""культура доверия"" в организации?",10119.0,отсутствие лицемерия,1.0,,
74,"Что для вас ""культура доверия"" в организации?",10119.0,нет двойных стандартов,1.0,,
75,"Что для вас ""культура доверия"" в организации?",10119.0,заявил проблему и получил,1.0,,
76,"Что для вас ""культура доверия"" в организации?",10119.0,заявил проблему и сам решаешь,1.0,,
77,"Что для вас ""культура доверия"" в организации?",10119.0,открыто выражать мнение,1.0,,
78,"Что для вас ""культура доверия"" в организации?",10119.0,уверенность в искренности друг,1.0,,
79,"Что для вас ""культура доверия"" в организации?",10119.0,поддержка и защита,1.0,,
80,"Что для вас ""культура доверия"" в организации?",10119.0,не бояться говорить что думаеш,1.0,,
81,"Что для вас ""культура доверия"" в организации?",10119.0,обратная связь без последствий,1.0,,
82,"Что для вас ""культура доверия"" в организации?",10119.0,открытость информации,1.0,,
83,"Что для вас ""культура доверия"" в организации?",10119.0,открытый разговор,1.0,,
84,"Что для вас ""культура доверия"" в организации?",10119.0,незамалчивание проблем,1.0,,
85,"Что для вас ""культура доверия"" в организации?",10119.0,нет обсуждений  «за спиной»,1.0,,
86,"Что для вас ""культура доверия"" в организации?",10119.0,всегда поддержат,1.0,,
87,"Что для вас ""культура доверия"" в организации?",10119.0,нет страха наказания,1.0,,
88,"Что для вас ""культура доверия"" в организации?",10119.0,ошибки это нормально,1.0,,
89,"Что для вас ""культура доверия"" в организации?",10119.0,право на ошибку,1.0,,
90,"Что для вас ""культура доверия"" в организации?",10119.0,без двойных стандартов,1.0,,
91,"Что для вас ""культура доверия"" в организации?",10119.0,без любимчиков,1.0,,
92,"Что для вас ""культура доверия"" в организации?",10119.0,открытость друг к другу,1.0,,
93,"Что для вас ""культура доверия"" в организации?",10119.0,открытость руководителя,1.0,,
94,"Что для вас ""культура доверия"" в организации?",10119.0,дилемма кому и когда доверять,1.0,,
95,"Что для вас ""культура доверия"" в организации?",10119.0,безопасная среда,1.0,,
96,"Что для вас ""культура доверия"" в организации?",10119.0,профессионализм,1.0,,
97,"Что для вас ""культура доверия"" в организации?",10119.0,свобода выбора методов,1.0,,
98,"Что для вас ""культура доверия"" в организации?",10119.0,открытое обсуждение точек рост,1.0,,
99,"Что для вас ""культура доверия"" в организации?",10119.0,когда не осуждают,1.0,,
100,"Что для вас ""культура доверия"" в организации?",10119.0,когда можешь говорить открыто,1.0,,
101,"Что для вас ""культура доверия"" в организации?",10119.0,твое мнение не равно увольнени,1.0,,
102,"Что для вас ""культура доверия"" в организации?",10119.0,важные элементы доверия - это,1.0,,
103,"Что для вас ""культура доверия"" в организации?",10119.0,это честность и уважение,1.0,,
104,"Что для вас ""культура доверия"" в организации?",10119.0,-,1.0,,
105,"Что для вас ""культура доверия"" в организации?",10119.0,один за всех и все за одного,1.0,,
106,"Что для вас ""культура доверия"" в организации?",10119.0,безопасное пространство,1.0,,
107,"Что для вас ""культура доверия"" в организации?",10119.0,открытые взаимоотношения,1.0,,
108,"Что для вас ""культура доверия"" в организации?",10119.0,поддержка коллег,1.0,,
109,"Что для вас ""культура доверия"" в организации?",10119.0,уверенность,1.0,,
110,"Что для вас ""культура доверия"" в организации?",10119.0,наличие компетентных сотрудник,1.0,,
111,"Что для вас ""культура доверия"" в организации?",10119.0,выполняет обещанное в срок,1.0,,
112,"Что для вас ""культура доверия"" в организации?",10119.0,верить друг другу,1.0,,
113,"Что для вас ""культура доверия"" в организации?",10119.0,правила конфиденциальност,1.0,,
114,"Что для вас ""культура доверия"" в организации?",10119.0,возможность признавать ошибки,1.0,,
115,"Что для вас ""культура доверия"" в организации?",10119.0,взаимоуважение,1.0,,
116,"Что для вас ""культура доверия"" в организации?",10119.0,доверие команде,1.0,,
117,"Что для вас ""культура доверия"" в организации?",10119.0,взаимопомощь и взаимодействие,1.0,,
118,"Что для вас ""культура доверия"" в организации?",10119.0,комфортная работа,1.0,,
119,"Что для вас ""культура доверия"" в организации?",10119.0,смело выражать мнение,1.0,,
120,"Что для вас ""культура доверия"" в организации?",10119.0,не быть осужденным,1.0,,
121,"Что для вас ""культура доверия"" в организации?",10119.0,ответственность,1.0,,
122,"Что для вас ""культура доверия"" в организации?",10119.0,доверительные отношения,1.0,,
123,"Что для вас ""культура доверия"" в организации?",10119.0,могу честно сказать свой минус,1.0,,
124,"Что для вас ""культура доверия"" в организации?",10119.0,доверить задачу без контроля,1.0,,
125,"Что для вас ""культура доверия"" в организации?",10119.0,"сказать, что думаю",1.0,,
126,"Что для вас ""культура доверия"" в организации?",10119.0,когда не боятся ошибиться,1.0,,
127,"Что для вас ""культура доверия"" в организации?",10119.0,уметь хранить секреты,1.0,,
128,"Что для вас ""культура доверия"" в организации?",10119.0,быть честным,1.0,,
129,"Что для вас ""культура доверия"" в организации?",10119.0,доверие коллегам,1.0,,
130,"Что для вас ""культура доверия"" в организации?",10119.0,"меня поругают, но не накажут",1.0,,
131,"Что для вас ""культура доверия"" в организации?",10119.0,не страшно сказать об ошибке,1.0,,
132,"Что для вас ""культура доверия"" в организации?",10119.0,отсутствие наказаний за ошибки,1.0,,
133,"Что для вас ""культура доверия"" в организации?",10119.0,честность друг с другом,1.0,,
134,"Что для вас ""культура доверия"" в организации?",10119.0,возможность говорить открыто,1.0,,
135,"Что для вас ""культура доверия"" в организации?",10119.0,совместный диалог,1.0,,
136,"Что для вас ""культура доверия"" в организации?",10119.0,правда,1.0,,
137,"Что для вас ""культура доверия"" в организации?",10119.0,возможность открыто обсуждать,1.0,,
138,"Что для вас ""культура доверия"" в организации?",10119.0,открытость коммуникации,1.0,,
139,"Что для вас ""культура доверия"" в организации?",10119.0,общение,1.0,,
140,"Что для вас ""культура доверия"" в организации?",10119.0,не прятать ошибки,1.0,,
141,"Что для вас ""культура доверия"" в организации?",10119.0,поощрение культуры ownershipa,1.0,,
142,"Что для вас ""культура доверия"" в организации?",10119.0,доверие между сотрудниками,1.0,,
143,"Что для вас ""культура доверия"" в организации?",10119.0,доброжелательность,1.0,,
144,"Что для вас ""культура доверия"" в организации?",10119.0,когда не конт-ют на каждом шаг,1.0,,
145,"Что для вас ""культура доверия"" в организации?",10119.0,безопасность быть собой,1.0,,
146,"Что для вас ""культура доверия"" в организации?",10119.0,толерантность к разному,1.0,,
147,"Что для вас ""культура доверия"" в организации?",10119.0,поддержка,1.0,,
148,"Что для вас ""культура доверия"" в организации?",10119.0,обоюдная открытость,1.0,,
149,"Что для вас ""культура доверия"" в организации?",10119.0,возможность высказывать идеи,1.0,,
150,"Что для вас ""культура доверия"" в организации?",10119.0,открытый диалог,1.0,,
151,"Что для вас ""культура доверия"" в организации?",10119.0,выдача корректной информации,1.0,,
152,"Что для вас ""культура доверия"" в организации?",10119.0,когда между руководителем и со,1.0,,
153,"Что для вас ""культура доверия"" в организации?",10119.0,устойчивые нормы и правила,1.0,,
154,"Что для вас ""культура доверия"" в организации?",10119.0,взаимопомощь и поддержка,1.0,,
155,"Что для вас ""культура доверия"" в организации?",10119.0,достойный имидж организации,1.0,,
156,"Что для вас ""культура доверия"" в организации?",10119.0,открытость и доступность инф-и,1.0,,
157,"Что для вас ""культура доверия"" в организации?",10119.0,честность,1.0,,
158,"Что для вас ""культура доверия"" в организации?",10119.0,поддержка,1.0,,
159,"Что для вас ""культура доверия"" в организации?",10119.0,желание делиться информацией,1.0,,
160,"Что для вас ""культура доверия"" в организации?",10119.0,не хватает количества знаков,1.0,,
161,"Что для вас ""культура доверия"" в организации?",10119.0,продуктивная работа,1.0,,
162,"Что для вас ""культура доверия"" в организации?",10119.0,"говорим прямо, без утаиваний",1.0,,
163,"Что для вас ""культура доверия"" в организации?",10119.0,уверенность в окружающих людях,1.0,,
164,"Что для вас ""культура доверия"" в организации?",10119.0,помощь без выгоды,1.0,,
165,"Что для вас ""культура доверия"" в организации?",10119.0,свободно выражать мнение,1.0,,
166,"Что для вас ""культура доверия"" в организации?",10119.0,открытость,1.0,,
167,"Что для вас ""культура доверия"" в организации?",10119.0,безопасность высказываний,1.0,,
168,"Что для вас ""культура доверия"" в организации?",10119.0,низкая бюрократия,1.0,,
169,"Что для вас ""культура доверия"" в организации?",10119.0,ффф,1.0,,
170,Что хорошего сделал за день?,1036.0,поела,1.0,,
171,Что хорошего сделал за день?,1036.0,решил вопрос,1.0,,
172,Что хорошего сделал за день?,1036.0,2,1.0,,
173,Что хорошего сделал за день?,1036.0,потестил,1.0,,
174,Что хорошего сделал за день?,1036.0,поучаствовал в ретро,1.0,,
175,Что хорошего сделал за день?,1036.0,поработал,1.0,,
176,Что хорошего сделал за день?,1036.0,проснулся :),1.0,,
177,Что хорошего сделал за день?,1036.0,участвовал в совещаниях,1.0,,
178,Что хорошего сделал за день?,1036.0,поела,1.0,,
179,Что хорошего сделал за день?,1036.0,создала себе новогоднее настроение,1.0,,
180,Что хорошего сделал за день?,1036.0,🙈,1.0,,
181,Что хорошего сделал за день?,1036.0,testing answer,1.0,,
182,Что хорошего сделал за день?,1036.0,покушал,1.0,,
183,Что хорошего сделал за день?,1036.0,порадовал своим присутствием >.<,1.0,,
184,Что хорошего сделал за день?,1036.0,помыл руки,1.0,,
185,Что хорошего сделал за день?,1036.0,поработал,1.0,,
186,Что хорошего сделал за день?,1036.0,успешный успех,1.0,,
187,Что хорошего сделал за день?,1036.0,покушал,1.0,,
188,Что хорошего сделал за день?,1036.0,приехал в офис,1.0,,
189,Что хорошего сделал за день?,1036.0,посмеялась,1.0,,
190,Что хорошего сделал за день?,1036.0,привет,1.0,,
191,Что хорошего сделал за день?,1036.0,<blink>hello there</blink>,1.0,,
192,Что хорошего сделал за день?,1036.0,закрыла все задачи),1.0,,
193,Что хорошего сделал за день?,1036.0,";!""№; 35",1.0,,
194,Что хорошего сделал за день?,1036.0,123www,1.0,,
195,Что хорошего сделал за день?,1036.0,<i><b>много всего</i></b>,1.0,,
196,Что хорошего сделал за день?,1036.0,сделала презентацию,1.0,,
197,Что хорошего сделал за день?,1036.0,достиг целей,1.0,,
198,Что хорошего сделал за день?,1036.0,макет,1.0,,
199,Что хорошего сделал за день?,1036.0,поел,1.0,,
200,Что хорошего сделал за день?,1036.0,потестил,1.0,,
201,Что хорошего сделал за день?,1036.0,провел 10 встреч,1.0,,
202,Что хорошего сделал за день?,1036.0,работаю вот,1.0,,
203,Что хорошего сделал за день?,1036.0,123www,1.0,,
204,Что хорошего сделал за день?,1036.0,.net code,1.0,,
205,Что хорошего сделал за день?,1036.0,нашел багу,1.0,,
206,Что хорошего сделал за день?,1036.0,погладил котика ^^,1.0,,
207,Что хорошего сделал за день?,1036.0,выполнил план,1.0,,
208,Что хорошего сделал за день?,1036.0,переговоры,1.0,,
209,Что хорошего сделал за день?,1036.0,не умер,1.0,,
210,Что хорошего сделал за день?,1036.0,поработал,1.0,,
211,Что хорошего сделал за день?,1036.0,поработал,1.0,,
212,Что хорошего сделал за день?,1036.0,příliš žluťoučký kůň úpěl ďábelské ódy,1.0,,
213,Что хорошего сделал за день?,1036.0,поработал,1.0,,
214,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,общение,1.0,,
215,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,опыт,1.0,,
216,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,полезно использовать в будущем,1.0,,
217,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,понятие клиентооринтрованости,1.0,,
218,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,осознание клиентоцентричности,1.0,,
219,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,общение с коллегам,1.0,,
220,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,опыт,1.0,,
221,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,общение с партнерами,1.0,,
222,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,"информ. выступающих, раб. в ко",1.0,,
223,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,мозговой штурм,1.0,,
224,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,общение с коллегами,1.0,,
225,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,новое видение старого,1.0,,
226,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,общение с коллегами,1.0,,
227,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,новые знания,1.0,,
228,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,новые знакомства,1.0,,
229,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,питание!,1.0,,
230,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,информация,1.0,,
231,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,общение с коллегами,1.0,,
232,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,получение обратной связи,1.0,,
233,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,"обмен опытом, знаниями",1.0,,
234,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,"новые знания, обмен опытом",1.0,,
235,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,общение с сотрудниками других,1.0,,
236,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,конструктивный диалог,1.0,,
237,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,знания по клиентоцентричности,1.0,,
238,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,понятие клиентоориетированност,1.0,,
239,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,работа в группах,1.0,,
240,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,1.коммуникация между сотру,1.0,,
241,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,2мозговой штурм по решению про,1.0,,
242,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,идея может быть реализована,1.0,,
243,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,работа в группах,1.0,,
244,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,опыт взаимодействия внутри аэм,1.0,,
245,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,обмен информацией,1.0,,
246,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,понимание клиентоцентричностт.,1.0,,
247,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,новый опыт,1.0,,
248,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,мнения участников,1.0,,
249,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,общение с коллегами из оку,1.0,,
250,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,командная рабгта,1.0,,
251,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,понимание общедивизиональных п,1.0,,
252,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,проектная деятельность,1.0,,
253,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,понимание разницы клиентоориен,1.0,,
254,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,понимание клиентоцентричности,1.0,,
255,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,понимание клиентоцентничность,1.0,,
256,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,к персоналу это понятие тоже о,1.0,,
257,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,относиться,1.0,,
258,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,новый опыт,1.0,,
259,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,встреча с коллегами и партнера,1.0,,
260,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,перестройка мышления под кл-ть,1.0,,
261,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,проблематика разных оку совпад,1.0,,
262,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,клиентоцентричность,1.0,,
263,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,мнения и обратная связь,1.0,,
264,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,выявление общих проблематик,1.0,,
265,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,решения,1.0,,
266,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,порешать нужные задачи,1.0,,
267,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,поработать в новой команде,1.0,,
268,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,понял клиентоцентричность,1.0,,
269,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,итоговые решения,1.0,,
270,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,обмен опытом,1.0,,
271,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,мозговой штурм,1.0,,
272,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,проработка проблем,1.0,,
273,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,результаты сессии руководителе,1.0,,
274,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,понимание задачи,1.0,,
275,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,"общение с коллегами,новая инфа",1.0,,
276,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,взгляд со стороны клиента,1.0,,
277,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,взаимодействие с коллегами,1.0,,
278,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,выявление идей для развития,1.0,,
279,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,новая информация,1.0,,
280,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,плодотворная работа в команде,1.0,,
281,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,узнать больше информации,1.0,,
282,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,узнать о клиентоцентричности,1.0,,
283,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,работа в команде,1.0,,
284,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,определение клиентоцентричност,1.0,,
285,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,встать на место клиента,1.0,,
286,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,раскрыли иначе цель,1.0,,
287,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,видение 2030,1.0,,
288,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,общение с коллегами,1.0,,
289,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,новый опыт,1.0,,
290,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,тема раскрыта,1.0,,
291,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,коммуникация,1.0,,
292,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,"общение, обмен опытом.",1.0,,
293,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,"выступления докладчиков, опыт",1.0,,
294,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,командная работа,1.0,,
295,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,работа в команде,1.0,,
296,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,новые контакты и варианты реше,1.0,,
297,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,новые связи,1.0,,
298,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,опыт коллег,1.0,,
299,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,общение,1.0,,
300,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,работа в команде,1.0,,
301,Опишите одним-двумя словами что было самым ценным для вас за этот день?,11016.0,генерация идей,1.0,,
